Date	E0	E1	E2	E3	E4	E5	E6	E7	E8	EC	EF	Etotal	I0	I1	I2	I3	I4	I5	IC	Itotal	R0	R1	R2	R3	Rtotal	D0	D1	D2	D3	D4	Dtotal	BB	NW	U0	U1	U2	U3
2015-09-01	912	1650.000000000	100	0	50	0.000000000	0	0	0	0	0	2712.000000000	4800.000000000	0	0	0	0	0	0	4800.000000000	130000.000000000	25000.000000000	0.000000000	0	155000.000000000	0.00000000	0.000000000	0	0	0	0.000000000	2088.000000000	157088.000000000	155000	0	0.0000000	0.000000000
2015-10-01	912	1656.875000000	100	0	50	0.000000000	0	0	0	0	0	2718.875000000	4806.000000000	0	0	0	0	0	0	4806.000000000	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2087.125000000	159291.791666667	0	0	0.0000000	0.000000000
2015-11-01	912	1663.778645833	100	0	50	0.000000000	0	0	0	0	0	2725.778645833	4812.007500000	0	0	0	0	0	0	4812.007500000	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2086.228854167	161378.020520833	0	0	0.0000000	0.000000000
2015-12-01	912	1670.711056858	100	0	50	0.000000000	0	0	0	0	0	2732.711056858	4818.022509375	0	0	0	0	0	0	4818.022509375	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2085.311452517	163463.331973351	0	0	0.0000000	0.000000000
2016-01-01	912	1660.341175673	100	0	50	0.000000000	0	0	0	0	0	2722.341175673	4809.007502344	0	0	0	0	0	0	4809.007502344	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2086.666326671	165549.998300022	0	0	0.0000000	0.000000000
2016-02-01	912	1667.259263905	100	0	50	0.000000000	0	0	0	0	0	2729.259263905	4815.018761722	0	0	0	0	0	0	4815.018761722	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2085.759497817	167635.757797839	0	0	0.0000000	0.000000000
2016-03-01	912	1674.206177504	100	0	50	0.000000000	0	0	0	0	0	2736.206177504	4821.037535174	0	0	0	0	0	0	4821.037535174	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2084.831357670	169720.589155509	0	0	0.0000000	0.000000000
2016-04-01	912	1681.182036577	100	0	50	0.000000000	0	0	0	0	0	2743.182036577	4827.063832093	0	0	0	0	0	0	4827.063832093	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2083.881795516	171804.470951024	0	0	0.0000000	0.000000000
2016-05-01	912	1688.186961730	100	0	50	0.000000000	0	0	0	0	0	2750.186961730	4833.097661883	0	0	0	0	0	0	4833.097661883	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2082.910700153	173887.381651177	0	0	0.0000000	0.000000000
2016-06-01	912	1695.221074070	100	0	50	0.000000000	0	0	0	0	0	2757.221074070	4839.139033960	0	0	0	0	0	0	4839.139033960	130054.166666667	25062.500000000	0.000000000	0	155116.666666667	0.00000000	0.000000000	0	0	0	0.000000000	2081.917959890	175969.299611067	0	0	0.0000000	0.000000000
