Year	MonthCount	Min-s_78Balance	Max-s_78Balance	Q1-s_78Balance	Q2-s_78Balance	Q3-s_78Balance	Mean-s_78Balance	StdDev-s_78Balance	Skew-s_78Balance	Kurt-s_78Balance	Min-s_78Networth	Max-s_78Networth	Q1-s_78Networth	Q2-s_78Networth	Q3-s_78Networth	Mean-s_78Networth	StdDev-s_78Networth	Skew-s_78Networth	Kurt-s_78Networth	Min-s_78Reserves	Max-s_78Reserves	Q1-s_78Reserves	Q2-s_78Reserves	Q3-s_78Reserves	Mean-s_78Reserves	StdDev-s_78Reserves	Skew-s_78Reserves	Kurt-s_78Reserves	Min-s_78Debts	Max-s_78Debts	Q1-s_78Debts	Q2-s_78Debts	Q3-s_78Debts	Mean-s_78Debts	StdDev-s_78Debts	Skew-s_78Debts	Kurt-s_78Debts	Min-s_78Equity	Max-s_78Equity	Q1-s_78Equity	Q2-s_78Equity	Q3-s_78Equity	Mean-s_78Equity	StdDev-s_78Equity	Skew-s_78Equity	Kurt-s_78Equity
2015	   4	2085.311452517	2088.000000000	2085.770153342	2086.676927084	2087.562500000	2086.666326671	1.157026640	-0.025387469	1.640327931	157088.000000000	163463.331973351	158189.895833334	160334.906093750	162420.676247092	160305.286040213	2738.741419672	-0.030212669	1.650944044	155000.000000000	155116.666666667	155000.000000000	155116.666666667	0	155087.500000000	58.333333334	-1.154700538	2.333333333	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
2016	  12	-9.377347276	2086.666326671	1233.887955960	2081.410711215	2084.356576593	1626.083250132	657.603174651	-1.316983328	4.007244380	28040.825726332	178050.203073608	31632.322220710	166592.878048931	172845.926301101	113098.786512478	72636.780073757	-0.332777005	1.120776213	155116.666666667	155116.666666667	0	155116.666666667	0	155116.666666667	0.000000000	0.000000000	0.000000000	0.000000000	150000.000000000	0	0.000000000	149597.690176648	62332.062338736	77031.995915142	0.338080702	1.114324253	0.000000000	110000.000000000	0	0.000000000	110000.000000000	45833.333333333	56642.151559888	0.338061702	1.114285714
2017	  12	1205.817483181	1229.020929105	1211.346673294	1217.782698957	1224.000636783	1217.641342880	7.606086565	-0.046583495	1.785168734	35216.687503599	50890.681614861	38792.989939754	43074.042409790	47342.881820342	43066.125938705	5137.702524672	-0.003862537	1.783160093	155116.666666667	155116.666666667	0	155116.666666667	0	155116.666666667	0.000000000	0.000000000	0.000000000	146697.345474629	148988.664400442	147226.151003032	147854.465543245	148475.903874230	147850.008684999	751.039165851	-0.014875857	1.783450493	110000.000000000	110000.000000000	0	110000.000000000	0	110000.000000000	0.000000000	0.000000000	0.000000000
2018	  12	-2872.445740278	1203.561109852	-2852.590241756	-820.515244441	1197.807262414	-827.430285234	2115.281880830	-0.000060817	1.000096561	43568.869081983	59366.652609080	50181.460940246	53925.611453551	56649.457494199	53005.739442449	4794.818000453	-0.637843907	2.432924043	155116.666666667	155116.666666667	0	155116.666666667	0	155116.666666667	0.000000000	0.000000000	0.000000000	144089.994584699	146484.422862173	144642.596361879	145299.185056402	145948.588112281	145294.527639535	784.835928314	-0.014875857	1.783450493	110000.000000000	110000.000000000	0	110000.000000000	0	110000.000000000	0.000000000	0.000000000	0.000000000
2019	  12	-2970.699010704	-2880.447566710	-2949.827667194	-2925.061583887	-2900.602514625	-2925.260577683	29.582212159	-0.016862718	1.783517093	11190.423829766	40910.925645291	18022.967250113	26161.480331059	34233.512019556	26118.389826918	9741.625105653	-0.011088416	1.783364963	155116.666666667	155116.666666667	0	155116.666666667	0	155116.666666667	0.000000000	0.000000000	0.000000000	141365.312904721	143867.490454681	141942.781761875	142628.916947651	143307.543141044	142624.049947025	820.153545088	-0.014875857	1.783450493	110000.000000000	110000.000000000	0	110000.000000000	0	110000.000000000	0.000000000	0.000000000	0.000000000
2020	  12	-3262.183088613	-2979.110225762	-3240.243927558	-3026.006780731	-3000.296339066	-3104.634281967	124.620893233	-0.315544953	1.165817100	-45919.750233604	8443.830419871	-37338.688615494	-18594.690727615	36.612514276	-18657.832381083	20437.841678488	-0.004322894	1.326521315	141671.465560744	155116.666666667	143091.602288559	148321.946633213	153610.175615984	148354.052246085	5591.592504189	0.005113433	1.135564282	139957.332212282	149719.641335730	140547.651146103	144453.735283710	148751.615853434	144648.067959000	4322.135588288	0.024304162	1.069431055	105062.065999087	110000.000000000	106164.724012105	107502.919167872	108857.982132524	107513.852184858	1618.533706848	0.016933123	1.783519605
2021	  12	-3370.747188461	-3271.024637398	-3347.685578288	-3320.320509123	-3293.294672467	-3320.540385593	32.686609011	-0.016862718	1.783517093	-87561.290264864	-49361.201419047	-78823.350005762	-68381.703621303	-57987.781128723	-68412.636296299	12520.936973076	-0.006193050	1.783300397	135054.074360214	141107.567710352	136406.409285662	138047.173081720	139708.125073991	138060.258232749	1984.186666124	0.016531596	1.783506308	142952.338682177	147381.203176219	143975.109851009	145189.843072370	146390.733347186	145180.870669028	1451.674494666	-0.015493740	1.783470481	99927.689892695	104624.307390757	100976.461082703	102249.258731119	103538.099859733	102259.657452300	1539.436073341	0.016933123	1.783519605
2022	  12	-3484.865633699	-3380.041087662	-3460.624147781	-3431.859029742	-3403.450499990	-3432.090155510	34.358917964	-0.016862718	1.783517093	-129999.361405359	-91066.379260344	-121089.584480320	-110445.817272710	-99854.280328133	-110479.670791931	12761.162275214	-0.006650241	1.783305514	128752.509602183	134517.096485294	130040.316645404	131602.779763131	133184.456301356	131615.233104901	1889.490210758	0.016521894	1.783505989	137903.763198527	142540.408715076	138974.519873656	140246.243372204	141503.472776917	140236.848923126	1519.780078645	-0.015495560	1.783470541	95044.230401651	99511.324518142	96041.748214069	97252.344326924	98478.199876179	97262.234863300	1464.203935870	0.016933123	1.783519605
2023	  12	-4262.288702256	-2102.104769052	-3143.361804821	-2462.497960235	-2127.333472207	-2697.674192841	720.403065953	-0.951725531	2.746153140	12304.426055365	46425.902746417	18701.637632094	26319.613732638	35623.592261808	27534.829605625	10878.404473864	0.291024283	1.970714357	168958.877672528	308241.151885803	170426.840456922	172206.302484016	174005.880116493	194316.360637817	53032.989425981	1.785116086	4.193495473	3434.253494053	137472.506303949	3866.610710012	4379.776440750	4886.720831087	26403.734909809	51843.365396634	1.788528944	4.199424654	90399.425247820	94648.212774977	91348.194431767	92499.628793926	93665.576864852	92509.035980453	1392.648387902	0.016933123	1.783519605
2024	  12	-2268.159570898	-1478.909385844	-2241.485293893	-2209.833408804	-2178.573897961	-2153.928911823	215.157233172	2.886521029	9.629190434	-18261.638118070	9732.314490461	-12436.274121365	-4549.265398535	3268.507522623	-4527.474531670	9328.542271004	0.020830705	1.750755158	162101.925134388	168375.638109716	163505.468070611	165206.800785171	166927.321493137	165219.237632211	2056.369449211	0.015160963	1.783462811	1296.218187473	3260.041084197	1750.193264230	2289.017281505	2821.308891360	2284.783248406	643.693194018	-0.016488967	1.783503928	85981.611409779	90022.760975955	86884.014307453	87979.178149697	89088.146416735	87988.125607651	1324.589754755	0.016933123	1.783519605
2025	  12	-1555.422741372	-1378.332169167	-1527.846246518	-1495.123783370	-1406.324557114	-1471.739212119	65.935245857	0.209692642	1.399630420	-41182.747330149	-20126.072548268	-36305.106080862	-30526.138500288	-24823.356984933	-30575.806043359	6901.106217980	-0.018138847	1.783913275	155545.468280266	161544.271665528	156887.558659318	158514.361926430	160159.469537170	158526.226028621	1966.260830688	0.015125557	1.783461726	0.000000000	1113.295157124	0.000000000	93.720164298	652.626354645	325.811264284	412.738316418	0.790091870	2.116819475	81779.695837176	85623.354695572	82637.998365871	83679.641624727	84734.414687066	83688.151821013	1259.857142438	0.016933123	1.783519605
2026	  12	-1562.577487088	-1434.597685739	-1532.981169533	-1497.861970532	-1463.178128515	-1498.144150908	41.948643346	-0.016862718	1.783517093	-65430.268280735	-43150.590691643	-60264.091177135	-54144.661062701	-48112.689439997	-54201.348052197	7302.667374422	-0.019459388	1.783637846	149275.677140579	155012.222604511	150559.141713250	152114.844868463	153688.010565156	152126.163349700	1880.299118779	0.015089637	1.783460627	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	77783.127596285	81438.947104521	78599.484938072	79590.223160854	80593.449534505	79598.317464418	1198.288008535	0.016933123	1.783519605
2027	  12	-1709.032384161	-1574.504893285	-1677.921862829	-1641.005898956	-1604.547565756	-1641.302516216	44.094815552	-0.016862718	1.783517093	-91122.199138032	-67514.733555771	-85647.031762417	-79162.414419078	-72771.425493236	-79223.100498719	7737.890795396	-0.019660415	1.783641404	143279.376477868	148765.716758828	144506.908212425	145994.778262158	147499.308886789	146005.576942199	1798.287998795	0.015053205	1.783459515	0.000000000	0.000000000	0	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000	73981.871376802	77459.031231300	74758.333390145	75700.654302547	76654.853070723	75708.353038039	1139.727754070	0.016933123	1.783519605
